C4H6+ + E	C3H2 + 3CH2 + H		
C4H6+ + E	C3H + CH4 + H		
C4H6+ + E	C3H + CH3 + H2		
C4H6+ + E	C2H6 + C2		
C4H6+ + E	C2H4 + C2H + H		
C4H6+ + E	C2H4 + C2H2		
C4H6+ + E	C2H4 + C2 + H2		
C4H6+ + E	C2H3 + C2H2 + H		
C4H6+ + E	C2H3 + C2H + H2		
C4H6+ + E	C2H5 + C2H		
C4H6+ + E	C2H2 + CH + CH3		
C4H6+ + E	C2H2 + C + CH4		
C4H7+ + E	C4H6 + H		
C4H7+ + E	C4H5 + H2		
C4H7+ + E	C4H5 + H + H		
C4H7+ + E	C4H4 + H2 + H		
C4H7+ + E	C4H3 + H2 + H2		
C4H7+ + E	C3H7 + C		
C4H7+ + E	C3H6 + CH		
C4H7+ + E	C3H5 + 1CH2		
C4H7+ + E	C3H5 + 3CH2		
C4H7+ + E	CH3C2H + CH3		
C4H7+ + E	CH2CCH2 + CH3		
C4H7+ + E	CH3C2H + 1CH2 + H		
C4H7+ + E	CH2CCH2 + 1CH2 + H		
C4H7+ + E	CH3C2H + 3CH2 + H		
C4H7+ + E	CH2CCH2 + 3CH2 + H		
C4H7+ + E	CH3C2H + CH + H2		
C4H7+ + E	CH2CCH2 + CH + H2		
C4H7+ + E	C3H3 + CH4		
C4H7+ + E	C3H3 + CH3 + H		
C4H7+ + E	C3H3 + 1CH2 + H2		
C4H7+ + E	C3H3 + 3CH2 + H2		
C4H7+ + E	C3H2 + CH4 + H		
C4H7+ + E	C3H2 + CH3 + H2		
C4H7+ + E	C3H + CH4 + H2		
C4H7+ + E	C2H6 + C2H		
C4H7+ + E	C2H5 + C2H2		
C4H7+ + E	C2H4 + C2H2 + H		
C4H7+ + E	C2H4 + C2H + H2		
C4H7+ + E	C2H3 + C2H3 + H		
C4H7+ + E	C2H3 + C2H2 + H2		
C4H7+ + E	C2H2 + 1CH2 + CH3		
C4H7+ + E	C2H2 + 3CH2 + CH3		
C4H8+ + E	C4H7 + H		
C4H8+ + E	C4H6 + H2		
C4H8+ + E	C4H6 + H + H		
C4H8+ + E	C4H5 + H2 + H		
C4H8+ + E	C4H5 + H + H + H		
C4H8+ + E	C4H4 + H2 + H2		
C4H8+ + E	C4H4 + H2 + H + H		
C4H8+ + E	C3H8 + C		
C4H8+ + E	C3H7 + CH		
C4H8+ + E	C3H6 + 1CH2		
C4H8+ + E	C3H6 + 3CH2		
C4H8+ + E	C3H6 + CH + H		
C4H8+ + E	C3H6 + C + H2		
C4H8+ + E	C3H5 + CH3		
C4H8+ + E	C3H5 + 1CH2 + H		
C4H8+ + E	C3H5 + 3CH2 + H		
C4H8+ + E	C3H5 + CH + H2		
C4H8+ + E	CH3C2H + CH4		
C4H8+ + E	CH2CCH2 + CH4		
C4H8+ + E	CH3C2H + CH3 + H		
C4H8+ + E	CH2CCH2 + CH3 + H		
C4H8+ + E	CH3C2H + 1CH2 + H2		
C4H8+ + E	CH2CCH2 + 1CH2 + H2		
C4H8+ + E	CH3C2H + 3CH2 + H2		
C4H8+ + E	CH2CCH2 + 3CH2 + H2		
C4H8+ + E	C3H3 + CH4 + H		
C4H8+ + E	C3H3 + CH3 + H2		
C4H8+ + E	C3H2 + CH4 + H2		
C4H8+ + E	C3H2 + CH4 + H + H		
C4H8+ + E	C2H6 + C2H2		
C4H8+ + E	C2H6 + C2H + H		
C4H8+ + E	C2H6 + C2 + H2		
C4H8+ + E	C2H5 + C2H3		
C4H8+ + E	C2H5 + C2H2 + H		
C4H8+ + E	C2H5 + C2H + H2		
C4H8+ + E	C2H4 + C2H4		
C4H8+ + E	C2H4 + C2H3 + H		
