Lambda  Total   CH3CN+   CH2CN+H  CHCN+H2  CH2+HCN  CH2CN/H  CH3/CNB2 CH3/CNA2
 1108.0 1.10E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.08E-16 1.78E-18 5.29E-19
 1118.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.89E-17 8.02E-19 2.48E-19
 1120.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.94E-17 4.80E-19 1.50E-19
 1125.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.94E-17 4.83E-19 1.47E-19
 1128.0 4.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.50E-17 7.33E-19 2.33E-19
 1130.0 3.10E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.04E-17 4.77E-19 1.52E-19
 1139.0 4.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.93E-17 5.43E-19 1.69E-19
 1143.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.95E-17 4.09E-19 1.19E-19
 1148.0 3.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.43E-17 5.21E-19 1.51E-19
 1156.0 1.03E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.01E-16 1.62E-18 5.05E-19
 1165.0 3.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-17 5.08E-19 1.41E-19
 1170.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.94E-17 4.43E-19 1.27E-19
 1184.0 2.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.85E-17 3.77E-19 1.16E-19
 1186.0 2.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.56E-17 3.36E-19 1.06E-19
 1192.0 2.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.56E-17 3.34E-19 1.08E-19
 1200.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.46E-17 3.08E-19 9.29E-20
 1203.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.95E-17 3.61E-19 1.03E-19
 1205.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.97E-17 2.37E-19 6.45E-20
 1210.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.97E-17 2.37E-19 6.26E-20
 1220.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.95E-17 3.72E-19 1.08E-19
 1221.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.97E-17 2.47E-19 7.29E-20
 1222.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.97E-17 2.46E-19 7.41E-20
 1230.0 2.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.85E-17 3.65E-19 1.19E-19
 1235.0 3.10E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.05E-17 3.94E-19 1.33E-19
 1236.0 2.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.85E-17 3.68E-19 1.25E-19
 1240.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.46E-17 3.23E-19 1.02E-19
 1242.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.95E-17 4.01E-19 1.09E-19
 1248.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.95E-17 3.89E-19 1.10E-19
 1250.0 3.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.64E-17 4.70E-19 1.34E-19
 1253.0 3.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.64E-17 4.56E-19 1.31E-19
 1260.0 4.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.53E-17 5.46E-19 1.44E-19
 1264.0 3.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.25E-17 3.88E-19 1.07E-19
