Lambda  Total   NH2/H    sNH/H2   NH/H/H   NH3+     NH2+H    NH+H2    N+H2/H   H+NH2   
 1155.0 1.55E-17 2.34E-18 2.73E-18 6.09E-18 4.34E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1157.0 1.46E-17 2.31E-18 2.54E-18 5.64E-18 4.12E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1159.0 1.51E-17 2.52E-18 2.70E-18 5.96E-18 3.91E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1160.0 1.33E-17 2.18E-18 2.27E-18 5.04E-18 3.80E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1165.0 2.20E-17 4.27E-18 4.33E-18 9.59E-18 3.81E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1170.0 1.21E-17 2.14E-18 2.11E-18 4.66E-18 3.19E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1173.0 1.75E-17 3.50E-18 3.34E-18 7.46E-18 3.20E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1176.0 1.36E-17 2.48E-18 2.31E-18 5.60E-18 3.21E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1178.0 2.72E-17 6.12E-18 5.58E-18 1.23E-17 3.21E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1180.0 2.25E-17 5.13E-18 4.52E-18 1.01E-17 2.79E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1185.0 1.15E-17 2.50E-18 2.22E-18 4.78E-18 2.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1187.0 1.86E-17 4.46E-18 3.78E-18 8.46E-18 1.90E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1189.0 1.33E-17 2.98E-18 2.57E-18 5.92E-18 1.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1190.5 1.30E-17 3.05E-18 2.50E-18 5.64E-18 1.81E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1191.5 2.03E-17 5.14E-18 4.12E-18 9.32E-18 1.73E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1192.5 2.78E-17 7.31E-18 5.75E-18 1.30E-17 1.70E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1193.0 1.57E-17 3.99E-18 3.08E-18 7.02E-18 1.62E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1194.0 2.25E-17 5.99E-18 4.72E-18 1.01E-17 1.64E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1195.0 1.78E-17 4.72E-18 3.51E-18 8.06E-18 1.51E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1196.0 1.82E-17 4.90E-18 3.60E-18 8.23E-18 1.47E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1198.0 1.44E-17 3.84E-18 2.76E-18 6.35E-18 1.44E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1200.0 9.10E-18 2.34E-18 1.65E-18 3.80E-18 1.31E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1202.0 1.88E-17 5.36E-18 3.70E-18 8.48E-18 1.26E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1203.5 8.60E-18 2.30E-18 1.56E-18 3.54E-18 1.20E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1204.0 1.22E-17 3.46E-18 2.31E-18 5.23E-18 1.20E-18 0.00E+00 0.00E+00 0.00E+00 1.35E-33
 1205.0 1.22E-17 3.55E-18 2.31E-18 5.23E-18 1.11E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1207.5 2.33E-17 7.25E-18 4.57E-18 1.05E-17 1.03E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1208.5 1.59E-17 4.93E-18 3.02E-18 6.96E-18 9.86E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1210.0 1.39E-17 4.35E-18 2.65E-18 5.96E-18 9.31E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
