 Lambda  Total   H/CN(*)  HCN+    
 1914.5 5.18E-22 5.18E-22 0.00E+00
 1919.0 1.63E-22 1.63E-22 0.00E+00
 1923.5 1.56E-22 1.56E-22 0.00E+00
 1925.5 2.36E-22 2.36E-22 0.00E+00
 1927.0 1.59E-22 1.59E-22 0.00E+00
 1931.5 1.59E-22 1.59E-22 0.00E+00
 1932.5 2.15E-22 2.15E-22 0.00E+00
 1936.5 1.56E-22 1.56E-22 0.00E+00
 1939.5 2.10E-22 2.10E-22 0.00E+00
 1941.0 1.71E-22 1.71E-22 0.00E+00
 1943.0 2.15E-22 2.15E-22 0.00E+00
 1947.0 1.56E-22 1.56E-22 0.00E+00
 1950.0 1.79E-22 1.79E-22 0.00E+00
